category,confidence,reasoning,txn_id,description
Meals & Catering,0.84,"Description references food/catering context (dinner, restaurant).",REF-00026,Client dinner - deal closure celebration 8 pax restaurant booking
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-028,Cloudflare Enterprise DDoS annual - production CDN
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-029,Flight BOM-CDG for Paris design conference - 1 pax
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,TXN-030,Credit note - overpayment on AWS Q1 invoice
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,TXN-031,AWS Solutions Architect external training - batch 12 engineers
Finance & Banking,0.55,Description references financial services or payment processing (bank).,TXN-032,Chargeback - fraudulent transaction reversed by bank
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-033,Meta Ads Manager - performance marketing campaign October
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-035,Tax advisory - transfer pricing documentation annual
Travel & Transport,0.66,"Description references travel or transport (flight, travel).",PMT-00037,Spouse flight ticket - accompanied personal travel
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-038,Personal Amazon Prime annual renewal - home account
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-039,Snowflake compute credits - data warehouse Q3 usage
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-040,
Meals & Catering,0.84,"Description references food/catering context (dinner, restaurant).",TXN-041,Client dinner - deal closure celebration 8 pax restaurant booking
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (rds).,TXN-043,RDS Multi-AZ commitment - postgres primary and 2 read replicas
Travel & Transport,0.55,Description references travel or transport (train).,TXN-044,Radisson Blu Hyderabad - 6 nights team training programme
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-045,Payout API bulk disbursement processing fee - April 2026 cycle
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-046,Background verification bulk - SpringVerify 50 new hires
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (salesforce, license).",TXN-047,Salesforce CPQ add-on module annual license - 200 named users
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-050,Datadog Log Management annual - 50GB per day retention
Meals & Catering,0.84,"Description references food/catering context (lunch, tea).",TXN-051,Team lunch - product sprint retrospective 15 pax
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-054,Udemy Business annual license - 100 seat L&D platform
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-056,Corporate cab account monthly - engineering late-night cabs May
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-058,Hugging Face Enterprise Hub annual - model hosting
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-059,Personal Amazon Prime annual renewal - home account
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-060,Personal medical consultation - non-work-related
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-061,New Relic Full Platform annual - 100GB data ingest
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-062,Standing desk Flexispot E7 - 5 units health initiative
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (zoom, license).",TXN-063,Zoom Events add-on webinar license 1000 attendees - annual
Travel & Transport,0.55,Description references travel or transport (train).,TXN-065,Radisson Blu Hyderabad - 6 nights team training programme
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-066,Background verification bulk - SpringVerify 50 new hires
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-067,dbt Cloud Team annual - data transformation 10 dev seats
Finance & Banking,0.55,Description references financial services or payment processing (razorpay).,TXN-068,Refund - duplicate payment reversed by vendor Razorpay
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-070,Leela Ambience Gurugram - 4 nights extended leadership stay
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-073,Personal Amazon Prime annual renewal - home account
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-074,LinkedIn Learning team plan - 75 user annual
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-075,Personal Amazon Prime annual renewal - home account
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (notion).,TXN-077,Notion Enterprise annual - knowledge management 150 seats
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-078,Fivetran Business annual - 25 connector ELT pipeline
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-079,Partial refund - catering shortfall Q3 offsite event
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,TXN-080,GCP Pub/Sub message delivery - event streaming pipeline
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-082,ClickUp Business annual - task management 100 seats
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, renewal).",TXN-084,Annual Slack Business+ renewal - 350 seats enterprise
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-085,Event sponsorship - SaaSBoomi annual conference
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-086,Due diligence report - acquisition target preliminary
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-087,Adobe Sign e-signature pack - 200 contract credits annual plan
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-088,Office pantry restocking monthly - beverages snacks 200 staff
Finance & Banking,0.55,Description references financial services or payment processing (razorpay).,TXN-090,Refund - duplicate payment reversed by vendor Razorpay
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-091,Adobe Sign enterprise annual - 500 transaction pack
Finance & Banking,0.55,Description references financial services or payment processing (forex).,TXN-093,FEMA compliance advisory - cross-border forex transactions
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (s3).,TXN-094,S3 Glacier archival fees - compliance data retention 7yr policy
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-095,Hyatt Regency Delhi - 5 nights annual board meeting
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-096,1Password Teams annual - 80 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-097,Payout API bulk disbursement processing fee - May 2026 cycle
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-098,Personal Swiggy order - home delivery non-business expense
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-099,PR agency retainer - media relations Q1
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-100,Personal Swiggy order - home delivery non-business expense
Travel & Transport,0.55,Description references travel or transport (train).,TXN-101,PMP certification external training - batch 8 PMs
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-103,OpenAI API credits - GPT-4o production inference tier
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-104,Personal Amazon Prime annual renewal - home account
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-105,Office stationery bulk order Q2 - paper pens notebooks
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,INV-00106,CRM enterprise license Q3 - EMEA region expansion 150 users
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-107,HRMS annual subscription - employee self-service 800 users
Meals & Catering,0.84,"Description references food/catering context (dinner, tea).",TXN-108,All-hands team dinner Q2 wrap-up event 95 pax
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-109,Intercom Business annual - customer messaging 10 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-110,Google Ads campaign - Q3 brand performance spend
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-111,Snowflake compute credits - data warehouse Q3 usage
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-112,Azure DevOps pipeline minutes - CI/CD build farm overrun
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-113,Outstation cab DEL-NCR client visit - full day rental
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-114,Snowflake compute credits - data warehouse Q3 usage
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,TXN-116,Credit note - overpayment on AWS Q1 invoice
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-117,Airport cab drop - personal vacation travel to Goa non-business
Personal Expense,0.66,"Description contains personal-use indicators (personal, grocery).",TXN-118,Uber ride - Personal grocery run on weekend trip
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-119,Fivetran Business annual - 25 connector ELT pipeline
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (zoom, renewal).",TXN-120,Zoom Workplace Pro annual renewal - 500 seats
Travel & Transport,0.55,Description references travel or transport (boarding).,PROC-00121,Miro Team annual - whiteboarding 45 seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-122,Cloud compute Q4 spot instance burst - ML training workloads
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-124,Flight DEL-DXB for Dubai partner summit - 3 pax economy class
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-125,Asana Business annual - work management 75 seats
Hardware & Equipment,0.55,Description references physical hardware or equipment (chair).,TXN-126,Herman Miller Aeron chairs - 10 units ergonomic upgrade
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-127,Flight HYD-JFK for New York investor roadshow - 2 pax business
Meals & Catering,0.55,Description references food/catering context (tea).,PMT-00128,Conrad Bengaluru - 3 nights executive team stay
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,EXP-00129,Zendesk Suite Professional annual - 40 agent seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-130,Azure Blob storage - backup and DR repository monthly
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-131,CA firm statutory audit fees - FY2025-26
Travel & Transport,0.55,Description references travel or transport (bus).,EXP-00133,Grammarly Business annual - writing assistant 30 seats
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-135,PagerDuty Business annual - on-call management 30 users
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-136,Catering for Q1 product roadmap planning workshop - 120 pax
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-137,Fivetran Business annual - 25 connector ELT pipeline
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-138,Background verification bulk - SpringVerify 50 new hires
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-139,Personal medical consultation - non-work-related
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-142,DocuSign Enterprise annual - unlimited envelopes 100 senders
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (s3).,TXN-143,S3 storage costs - analytics data lake monthly billing
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-144,Corporate cab account monthly - engineering late-night cabs May
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-145,Flight BLR-AMS for Amsterdam engineering summit - 2 pax
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-146,Airport cab drop - personal vacation travel to Goa non-business
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (renewal).,TXN-147,Health insurance group policy annual premium renewal
Finance & Banking,0.55,Description references financial services or payment processing (razorpay).,TXN-148,Razorpay settlement reconciliation charges - Q2
Travel & Transport,0.55,Description references travel or transport (airport).,TXN-149,Ride to airport BLR T2 - early morning investor meeting
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-150,Airport cab drop - personal vacation travel to Goa non-business
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-152,Flight HYD-JFK for New York investor roadshow - 2 pax business
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-153,Town hall snacks and beverages - 200 employees all-hands
Personal Expense,0.66,"Description contains personal-use indicators (personal, netflix).",TXN-154,Personal Netflix subscription - accidentally on corporate card
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,TXN-155,AWS WAF rules monthly - bot protection production APIs
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-156,Adobe Sign e-signature pack - 200 contract credits annual plan
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-157,Looker Enterprise annual - 20 developer seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-158,MacBook Pro M3 Max 14in - engineer workstation batch 5 units
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (subscription, hubspot).",TXN-159,HubSpot Marketing Hub Professional annual subscription
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-160,CRM enterprise license Q3 - EMEA region expansion 150 users
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-161,LinkedIn Learning team plan - 75 user annual
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-162,Tax advisory - transfer pricing documentation annual
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (s3).,TXN-163,S3 storage costs - analytics data lake monthly billing
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-165,Investor roadshow dinner - 6 guests fine dining
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-166,Figma Organization plan annual - design team 40 seats
